lighthouse_target_id,source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,page_role,source_kind,default_strategy,default_device_category,scope_status,selection_rule,js_dependency_level_preaudit,tested_url,final_url,notes,collection_crawl_run_id,started_at,ended_at,status,audited_url,url_source_column,strategy_used,target_dir,work_dir,filesystem_dir,collect_exit_code,upload_exit_code,error_message,representative_json_path,representative_html_path,representative_requested_url,representative_final_url,fetch_time,lighthouse_version,runtime_error_code,runtime_error_message,category_performance,category_accessibility,category_best_practices,category_seo,metric_fcp_ms,metric_lcp_ms,metric_speed_index_ms,metric_tbt_ms,metric_cls,metric_inp_ms,report_count
LH_HOME_UNI01,SD0001,CR001,UNI01,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unibo.it/,https://www.unibo.it/it,tranche1; final URL redirects from root to /it,CR034,2026-04-23T13:56:50Z,2026-04-23T13:58:05Z,ok,https://www.unibo.it/it,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI01,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI01/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI01/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI01/lhci_filesystem/www_unibo_it-it-2026_04_23_13_57_30.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI01/lhci_filesystem/www_unibo_it-it-2026_04_23_13_57_30.report.html,https://www.unibo.it/it,https://www.unibo.it/it,2026-04-23T13:57:30.141Z,12.6.1,,,0.52,1,1,1,21385.70299070059,31241.237676215133,21385.70299070059,181,0,,3
LH_HOME_UNI02,SD0005,CR001,UNI02,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unipd.it/,https://www.unipd.it/,tranche1; homepage snapshot,CR034,2026-04-23T13:58:05Z,2026-04-23T13:59:26Z,ok,https://www.unipd.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI02,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI02/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI02/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI02/lhci_filesystem/www_unipd_it--2026_04_23_13_58_37.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI02/lhci_filesystem/www_unipd_it--2026_04_23_13_58_37.report.html,https://www.unipd.it/,https://www.unipd.it/,2026-04-23T13:58:37.354Z,12.6.1,,,0.34,0.98,0.71,0.66,3008.389,6570.593999999996,11120.486248167543,2130.29,0.017693,,3
LH_HOME_UNI03,SD0009,CR002,UNI03,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unipi.it/,https://www.unipi.it/,tranche2; homepage snapshot,CR034,2026-04-23T13:59:26Z,2026-04-23T14:01:26Z,ok,https://www.unipi.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI03,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI03/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI03/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI03/lhci_filesystem/www_unipi_it--2026_04_23_13_59_38.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI03/lhci_filesystem/www_unipi_it--2026_04_23_13_59_38.report.html,https://www.unipi.it/,https://www.unipi.it/,2026-04-23T13:59:38.037Z,12.6.1,,,0.58,0.84,0.93,0.92,4244.0038,6628.109800000001,13103.55712973053,126,0.001416,,3
LH_HOME_UNI04,SD0013,CR002,UNI04,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unifi.it/,https://www.unifi.it:443/it,tranche2; final URL adds /it locale path,CR034,2026-04-23T14:01:26Z,2026-04-23T14:02:29Z,ok,https://www.unifi.it:443/it,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI04,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI04/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI04/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI04/lhci_filesystem/www_unifi_it-it-2026_04_23_14_01_39.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI04/lhci_filesystem/www_unifi_it-it-2026_04_23_14_01_39.report.html,https://www.unifi.it/it,https://www.unifi.it/it,2026-04-23T14:01:39.165Z,12.6.1,,,0.44,1,1,1,1986.53,11133.529999999999,5635.683364742375,1341,0.018663,,3
LH_HOME_UNI05,SD0017,CR002,UNI05,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unisi.it/,https://www.unisi.it/,tranche2; homepage snapshot,CR034,2026-04-23T14:02:29Z,2026-04-23T14:03:24Z,ok,https://www.unisi.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI05,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI05/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI05/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI05/lhci_filesystem/www_unisi_it--2026_04_23_14_03_11.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI05/lhci_filesystem/www_unisi_it--2026_04_23_14_03_11.report.html,https://www.unisi.it/,https://www.unisi.it/,2026-04-23T14:03:11.220Z,12.6.1,,,0.6,0.83,1,0.83,1103.11,4494.416499999999,2999.729263235281,11,0.8101870000000003,,3
LH_HOME_UNI06,SD0022,CR004,UNI06,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unito.it/,https://www.unito.it/,tranche3; homepage snapshot,CR034,2026-04-23T14:03:24Z,2026-04-23T14:04:29Z,ok,https://www.unito.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI06,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI06/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI06/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI06/lhci_filesystem/www_unito_it--2026_04_23_14_03_53.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI06/lhci_filesystem/www_unito_it--2026_04_23_14_03_53.report.html,https://www.unito.it/,https://www.unito.it/,2026-04-23T14:03:53.509Z,12.6.1,,,0.66,0.93,0.96,1,2335.831,10167.105500000001,6536.356352613795,69,0,,3
LH_HOME_UNI07,SD0026,CR004,UNI07,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://unige.it/,https://unige.it/,tranche3; homepage snapshot,CR034,2026-04-23T14:04:29Z,2026-04-23T14:05:38Z,ok,https://unige.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI07,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI07/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI07/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI07/lhci_filesystem/unige_it--2026_04_23_14_04_40.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI07/lhci_filesystem/unige_it--2026_04_23_14_04_40.report.html,https://unige.it/,https://unige.it/,2026-04-23T14:04:40.075Z,12.6.1,,,0.53,0.88,1,0.92,6244.9925,17794.9925,7859.852676769173,207.4999999999991,0.072426,,3
LH_HOME_UNI08,SD0030,CR004,UNI08,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unimib.it/,https://www.unimib.it/,tranche3; homepage snapshot,CR034,2026-04-23T14:05:38Z,2026-04-23T14:06:35Z,ok,https://www.unimib.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI08,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI08/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI08/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI08/lhci_filesystem/www_unimib_it--2026_04_23_14_06_21.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI08/lhci_filesystem/www_unimib_it--2026_04_23_14_06_21.report.html,https://www.unimib.it/,https://www.unimib.it/,2026-04-23T14:06:21.004Z,12.6.1,,,0.53,0.96,0.96,0.92,3318.811,35257.811,8545.561898218757,338.5,0.020588,,3
LH_HOME_UNI09,SD0034,CR005,UNI09,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unimi.it/,https://www.unimi.it/it,tranche4; final URL redirects from root to /it,CR034,2026-04-23T14:06:35Z,2026-04-23T14:07:33Z,ok,https://www.unimi.it/it,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI09,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI09/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI09/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI09/lhci_filesystem/www_unimi_it-it-2026_04_23_14_07_18.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI09/lhci_filesystem/www_unimi_it-it-2026_04_23_14_07_18.report.html,https://www.unimi.it/it,https://www.unimi.it/it,2026-04-23T14:07:18.234Z,12.6.1,,,0.63,0.96,0.93,1,3358.350000000001,10922.692500000001,5227.326068106999,129,0,,3
LH_HOME_UNI10,SD0038,CR005,UNI10,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.uninsubria.it/,https://www.uninsubria.it/,tranche4; homepage snapshot,CR034,2026-04-23T14:07:33Z,2026-04-23T14:08:36Z,ok,https://www.uninsubria.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI10,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI10/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI10/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI10/lhci_filesystem/www_uninsubria_it--2026_04_23_14_07_43.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI10/lhci_filesystem/www_uninsubria_it--2026_04_23_14_07_43.report.html,https://www.uninsubria.it/,https://www.uninsubria.it/,2026-04-23T14:07:43.277Z,12.6.1,,,0.61,0.98,0.96,0.85,1535.2915,101079.29149999999,22759.780007722853,107.5,0.100955,,3
LH_HOME_UNI11,SD0042,CR005,UNI11,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unisa.it/,https://www.unisa.it/,tranche4; homepage snapshot,CR034,2026-04-23T14:08:36Z,2026-04-23T14:09:30Z,ok,https://www.unisa.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI11,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI11/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI11/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI11/lhci_filesystem/www_unisa_it--2026_04_23_14_09_15.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI11/lhci_filesystem/www_unisa_it--2026_04_23_14_09_15.report.html,https://www.unisa.it/,https://www.unisa.it/,2026-04-23T14:09:15.610Z,12.6.1,,,0.82,0.96,0.79,1,1710.098,2910.098,2596.908317363252,0,0.236171,,3
LH_HOME_UNI12,SD0047,CR007,UNI12,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.uniroma3.it/,https://www.uniroma3.it/,tranche5; homepage snapshot,CR034,2026-04-23T14:09:30Z,2026-04-23T14:11:03Z,ok,https://www.uniroma3.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI12,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI12/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI12/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI12/lhci_filesystem/www_uniroma3_it--2026_04_23_14_10_10.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI12/lhci_filesystem/www_uniroma3_it--2026_04_23_14_10_10.report.html,https://www.uniroma3.it/,https://www.uniroma3.it/,2026-04-23T14:10:10.701Z,12.6.1,,,0.28,0.96,0.79,0.91,4320.7119,15432.841499999993,13154.900581085738,256,0.8734529999999999,,3
LH_HOME_UNI13,SD0051,CR007,UNI13,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unipa.it/,https://www.unipa.it/,tranche5; homepage snapshot,CR034,2026-04-23T14:11:03Z,2026-04-23T14:13:27Z,ok,https://www.unipa.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI13,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI13/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI13/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI13/lhci_filesystem/www_unipa_it--2026_04_23_14_11_13.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI13/lhci_filesystem/www_unipa_it--2026_04_23_14_11_13.report.html,https://www.unipa.it/,https://www.unipa.it/,2026-04-23T14:11:13.242Z,12.6.1,,,0.6,0.89,0.96,1,3621.3880000000004,6940.732000000002,19214.627831996477,54.5,0.003528,,3
LH_HOME_UNI14,SD0055,CR007,UNI14,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unistrapg.it/,https://www.unistrapg.it/,tranche5; homepage snapshot,CR034,2026-04-23T14:13:27Z,2026-04-23T14:14:45Z,ok,https://www.unistrapg.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI14,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI14/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI14/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI14/lhci_filesystem/www_unistrapg_it--2026_04_23_14_14_27.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI14/lhci_filesystem/www_unistrapg_it--2026_04_23_14_14_27.report.html,https://www.unistrapg.it/,https://www.unistrapg.it/it,2026-04-23T14:14:27.946Z,12.6.1,,,0.52,0.98,0.79,1,4927.956,23738.438499999997,9357.16176654371,254,0.007972,,3
LH_HOME_UNI15,SD0061,CR010,UNI15,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.uniurb.it/,https://www.uniurb.it/,tranche6; fetched with browser user-agent and HTTP/1.1 after empty reply on default curl; homepage snapshot,CR034,2026-04-23T14:14:45Z,2026-04-23T14:17:16Z,ok,https://www.uniurb.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI15,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI15/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI15/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI15/lhci_filesystem/www_uniurb_it--2026_04_23_14_15_16.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI15/lhci_filesystem/www_uniurb_it--2026_04_23_14_15_16.report.html,https://www.uniurb.it/,https://www.uniurb.it/,2026-04-23T14:15:16.104Z,12.6.1,,,0.5,0.93,1,0.92,24000.902999999988,26962.21349999999,24000.902999999988,232.5,0.070699,,3
LH_HOME_UNI16,SD0065,CR010,UNI16,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.uninettunouniversity.net/,http://www.uninettunouniversity.net/en/default.aspx,tranche6; source seed redirects from root to English default homepage,CR034,2026-04-23T14:17:16Z,2026-04-23T14:18:30Z,ok,http://www.uninettunouniversity.net/en/default.aspx,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI16,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI16/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI16/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI16/lhci_filesystem/www_uninettunouniversity_net-en_default_aspx-2026_04_23_14_17_48.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI16/lhci_filesystem/www_uninettunouniversity_net-en_default_aspx-2026_04_23_14_17_48.report.html,http://www.uninettunouniversity.net/en/default.aspx,https://www.uninettunouniversity.net/en/default.aspx,2026-04-23T14:17:48.192Z,12.6.1,,,0.05,0.9,0.59,1,7928.121499999999,38177.78199999999,10351.53909034944,3839,0.48475199999999996,,3
LH_HOME_UNI17,SD0069,CR010,UNI17,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unical.it/,https://www.unical.it/,tranche6; homepage snapshot,CR034,2026-04-23T14:18:30Z,2026-04-23T14:19:26Z,ok,https://www.unical.it/,final_url,mobile,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI17,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI17/workdir,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI17/lhci_filesystem,0,0,,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI17/lhci_filesystem/www_unical_it--2026_04_23_14_18_40.report.json,/Users/gaialorenzoni/progetti/uni-sites-audit/university-websites-usability-audit/artifacts/runs/CR034_lighthouse_mobile_v1/LH_HOME_UNI17/lhci_filesystem/www_unical_it--2026_04_23_14_18_40.report.html,https://www.unical.it/,https://www.unical.it/,2026-04-23T14:18:40.203Z,12.6.1,,,0.62,0.98,1,1,3117.6890000000003,4065.6890000000003,4132.79171864748,121.00000000000045,0.336308,,3
