phase,audit_round,audit_date,crawl_run_id,university_id,university_name,macro_area,institution_type,university_city,university_homepage_url,programmes_hub_url,sample_course_id,course_name,course_class,department,course_page_url,course_page_final_url,course_platform_type,js_heavy_flag,journey_start_url,journey_target_url,journey_success,journey_click_depth,journey_time_seconds,journey_path_type,journey_notes,breadcrumb_present,breadcrumb_depth_proxy,menu_clarity_score,onsite_search_present,orientation_description,orientation_requirements,orientation_deadlines,orientation_fees,orientation_contacts,orientation_multilingual,orientation_study_plan,orientation_careers,orientation_score_raw,orientation_score_norm,title_text,title_quality_score,meta_description_present,meta_description_quality_score,canonical_present,structured_data_course,structured_data_breadcrumb,indexability_status,google_query_exact,google_rank_exact,google_query_generic,google_rank_generic,official_result_present,third_party_above_official,ai_search_note,serp_known_institution_found_top10,serp_user_like_found_top10,serp_info_seeking_found_top10,serp_any_core_query_found_top10,serp_all_core_queries_found_top10,serp_best_rank_organic,serp_median_rank_found,serp_missing_all_core_queries,serp_crawl_run_id,lang_declared,skip_link_present,accessibility_statement_present,h1_present,heading_structure_score,missing_alt_count,empty_link_count,form_label_issue_count,wave_error_count,wave_contrast_error_count,wave_collection_mode,wave_metric_comparability,wave_crawl_run_id,lighthouse_performance,lighthouse_accessibility,lighthouse_best_practices,lighthouse_seo,lighthouse_strategy,lhci_run_id,course_title_present,course_title_location_type,course_title_local_findability,degree_level_present,degree_level_location_type,degree_level_local_findability,degree_class_present,degree_class_location_type,degree_class_local_findability,cfu_present,cfu_location_type,cfu_local_findability,duration_present,duration_location_type,duration_local_findability,academic_year_present,academic_year_location_type,academic_year_local_findability,location_present,location_location_type,location_local_findability,language_present,language_location_type,language_local_findability,study_plan_present,study_plan_location_type,study_plan_local_findability,admission_requirements_present,admission_requirements_location_type,admission_requirements_local_findability,admission_procedure_present,admission_procedure_location_type,admission_procedure_local_findability,deadlines_present,deadlines_location_type,deadlines_local_findability,fees_or_costs_present,fees_or_costs_location_type,fees_or_costs_local_findability,career_outcomes_present,career_outcomes_location_type,career_outcomes_local_findability,contacts_present,contacts_location_type,contacts_local_findability,official_regulation_present,official_regulation_location_type,official_regulation_local_findability,quality_or_satisfaction_present,quality_or_satisfaction_location_type,quality_or_satisfaction_local_findability,accessibility_services_present,accessibility_services_location_type,accessibility_services_local_findability,overall_extraction_confidence,structural_essential_info_complete,structural_essential_completeness_rate,structural_study_plan_present,structural_study_plan_direct,structural_study_plan_pdf_only,structural_admission_info_present,structural_contacts_present,structural_fragmented_information,structural_external_portal_dependency,journey_run_id,wave_crawl_run_id_prov,serp_crawl_run_id_prov,structural_extraction_run_id,source_document_id,canonical_course_url,evidence_path,overall_notes,review_status,provenance_notes,journey_blocked,journey_high_friction,weak_external_findability,accessibility_risk,technical_risk,information_fragmentation,critical_student_pathway,multi_phase_critical_case
definitive,sample_v1,2026-05-07,,UNI01,Università degli Studi di Bologna,Nord,statale,Bologna,https://www.unibo.it/,https://www.unibo.it/it/studiare,C001,Scienze della comunicazione,L-20,,https://corsi.unibo.it/laurea/ScienzeComunicazione,https://corsi.unibo.it/laurea/ScienzeComunicazione,unibo_course_portal,0,https://www.unibo.it/,https://corsi.unibo.it/laurea/ScienzeComunicazione,1,3,35,mixed,manual journey collected 2026-04-07 via homepage search > filtered results > ateneo card > CTA to course site,0,,3,1,1,1,1,1,1,1,1,1,8,1.0,Scienze della comunicazione - Laurea - Bologna,4,1,2,1,0,0,indexable,"""Scienze della comunicazione"" ""Università degli Studi di Bologna""",not_observed,Scienze della comunicazione Unibo,1,1,0,,0,1,1,1,0,1,1.0,0,CR035,1,1,1,1,3,0,1,0,1,0,api_primary,standard,WVRUN_001,0.36,0.97,1,1,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,present,ambiguous,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,linked_official_page,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,0,0.8571,1,1,0,1,1,0,0,JR0001,WVRUN_001,CR035,STRUN_001,SD0003,https://corsi.unibo.it/laurea/ScienzeComunicazione,artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html,,validated,,0,1,0,0,1,0,0,0
definitive,sample_v1,2026-05-07,,UNI01,Università degli Studi di Bologna,Nord,statale,Bologna,https://www.unibo.it/,https://www.unibo.it/it/studiare,C002,Semiotica,LM-92,,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,unibo_ateneo_course_card,0,https://www.unibo.it/,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,0,blocked,blocked,failed,manual journey collected 2026-04-20 via JR0004; hub browse reaches Cineca Angular listing but Semiotica magistrale not findable without JS; target URL confirmed live (SD0004) but not reachable via internal navigation; run_outcome=blocked_js,0,,3,blocked,1,1,1,1,1,1,1,1,8,1.0,Semiotica — Università di Bologna,3,0,0,1,0,0,indexable,"""Semiotica"" ""Università degli Studi di Bologna""",not_observed,Semiotica Unibo,1,1,0,,0,1,1,1,0,1,1.0,0,CR036,1,0,1,1,3,0,0,0,0,0,api_primary,standard,WVRUN_pilot4,0.48,1,1,0.92,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,linked_official_page,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,linked_official_page,ambiguous,present,linked_official_page,ambiguous,present,ambiguous,ambiguous,not_observed,0,0.8571,1,1,0,1,1,0,0,JR0004,WVRUN_pilot4,CR036,STRUN_001,SD0004,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,artifacts/journeys/J002_C002_semiotica/source/SD0004.html,,checked,,1,0,0,0,1,0,0,0
definitive,sample_v1,2026-05-07,,UNI02,Università degli Studi di Padova,Nord,statale,Padova,https://www.unipd.it/,https://www.unipd.it/corsi-di-laurea,C003,Comunicazione,L-20,,https://www.unipd.it/corsi-di-laurea/comunicazione,https://www.unipd.it/corsi-di-laurea/comunicazione,unipd_nextjs,0,https://www.unipd.it/,https://www.unipd.it/corsi-di-laurea/comunicazione,0,blocked,blocked,failed,manual journey collected 2026-04-20 via JR0005; Unipd platform migrated to Next.js/React (confirmed post CR001); hub /offerta-didattica dead (308->homepage); new hub /corsi-di-laurea JS-only shell; new target confirmed live (SD0089); run_outcome=blocked_js,1,,2,blocked,1,1,0,1,1,0,0,0,4,0.5,COMUNICAZIONE | Università di Padova,3,1,1,0,0,0,indexable,"""Comunicazione"" ""Università degli Studi di Padova""",1,Comunicazione Unipd,1,1,0,,1,1,1,1,1,1,1.0,0,CR036,1,0,1,1,1,0,0,1,1,1,api_primary,standard,WVRUN_001,0.32,0.96,0.71,0.66,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,present,ambiguous,ambiguous,not_observed,0,0.5714,0,0,0,1,1,0,0,JR0005,WVRUN_001,CR036,STRUN_001,SD0089,https://www.unipd.it/corsi-di-laurea/comunicazione,artifacts/journeys/J003_C003_comunicazione/source/SD0007.html,,checked,,1,0,0,0,1,0,0,0
definitive,sample_v1,2026-05-07,,UNI02,Università degli Studi di Padova,Nord,statale,Padova,https://www.unipd.it/,https://www.unipd.it/corsi-di-laurea,C004,Strategie di comunicazione,LM-92,,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,unipd_nextjs,0,https://www.unipd.it/,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,0,blocked,blocked,failed,manual journey collected 2026-04-20 via JR0006; same Unipd Next.js platform as J003; hub updated from dead /offerta-didattica to /corsi-di-laurea; target URL resolved 2026-04-21 as /corsi-di-laurea/strategie-di-comunicazione (SD0090); run_outcome=blocked_js,1,,2,blocked,1,1,0,1,1,0,0,0,4,0.5,STRATEGIE DI COMUNICAZIONE | Università di Padova,3,1,1,0,0,0,indexable,"""Strategie di comunicazione"" ""Università degli Studi di Padova""",1,Strategie di comunicazione Unipd,1,1,0,,1,1,1,1,1,1,1.0,0,CR036,1,0,1,1,1,0,0,1,1,1,api_primary,standard,WVRUN_001,0.36,0.96,0.71,0.66,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,present,ambiguous,ambiguous,not_observed,0,0.5714,0,0,0,1,1,0,0,JR0006,WVRUN_001,CR036,STRUN_001,SD0090,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0008.html,,checked,,1,0,0,0,1,0,0,0
definitive,sample_v1,2026-05-07,,UNI03,Università degli Studi di Pisa,Centro,statale,Pisa,https://www.unipi.it/,https://www.unipi.it/didattica,C005,Discipline dello spettacolo e della comunicazione,L-3/L-20,,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,unipi_course_site,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,1,1,20,onsite_search,manual journey collected 2026-04-07 via homepage search result; target resolves to canonical trailing-slash URL,1,,3,1,1,1,1,1,1,1,1,1,8,1.0,Discipline dello spettacolo e della comunicazione ~ UNIPI,2,0,0,1,0,0,indexable,"""Discipline dello spettacolo e della comunicazione"" ""Università degli Studi di Pisa""",not_observed,Discipline dello spettacolo e della comunicazione UniPi,1,1,0,,0,1,1,1,0,1,1.0,0,CR036,1,1,1,1,1,21,6,0,29,0,api_primary,standard,WVRUN_001,0.69,0.91,1,0.85,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,linked_official_page,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,linked_pdf,ambiguous,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,not_observed,1,1.0,1,1,0,1,1,0,0,JR0002,WVRUN_001,CR036,STRUN_001,SD0011,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0011.html,,validated,,0,1,0,1,0,0,0,0
definitive,sample_v1,2026-05-07,,UNI03,Università degli Studi di Pisa,Centro,statale,Pisa,https://www.unipi.it/,https://www.unipi.it/didattica,C006,"Comunicazione, Media, Tecnologie",LM-92,,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,unipi_course_site,0,https://www.unipi.it/,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,1,1,21,onsite_search,manual journey collected 2026-04-07 via homepage search result; target canonico aggiornato da storico path /lauree-triennali-ciclo-unico/,1,,3,1,1,1,0,1,1,1,1,1,7,0.875,"Comunicazione, media, tecnologie ~ UNIPI",2,0,0,1,0,0,indexable,"""Comunicazione, Media, Tecnologie"" ""Università degli Studi di Pisa""",not_observed,"Comunicazione, Media, Tecnologie UniPi",1,1,0,,0,1,1,1,0,1,1.0,0,CR036,1,1,1,1,1,21,6,0,29,0,api_primary,standard,WVRUN_001,0.68,0.9,1,0.85,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,linked_pdf,ambiguous,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,not_observed,0,0.7143,1,1,0,1,1,0,0,JR0003,WVRUN_001,CR036,STRUN_001,SD0012,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.html,,validated,,0,1,0,1,0,0,0,0
definitive,sample_v1,2026-05-07,,UNI04,Università degli Studi di Firenze,Centro,statale,Firenze,https://www.unifi.it/,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea,C007,Scienze Umanistiche per la Comunicazione,L-20,,https://www.unifi.it/it/node/6520,https://www.unifi.it/it/node/6520,unifi_course_site,0,https://www.unifi.it/,https://www.unifi.it/it/node/6520,1,3,34,onsite_search,manual journey collected 2026-04-21 via homepage > Corsi di laurea > triennali listing search; filtered official result uses alias /it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-triennali-e-a-ciclo-unico/scienze-umanistiche-la while the historical seed /it/node/6520 remains live,1,,2,1,1,1,1,1,1,1,1,1,8,1.0,Scienze Umanistiche per la Comunicazione | Università di Firenze,3,0,0,1,0,0,indexable,"""Scienze Umanistiche per la Comunicazione"" ""Università degli Studi di Firenze""",1,Scienze Umanistiche per la Comunicazione UniFi,1,1,0,,1,1,1,1,1,1,1.0,0,CR037,1,1,1,1,1,0,0,1,0,0,api_primary,standard,WVRUN_001,0.75,1,1,0.92,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,not_observed,0,0.8571,1,1,0,1,1,0,0,JR0007,WVRUN_001,CR037,STRUN_001,SD0015,https://www.unifi.it/it/node/6520,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html,,validated,,0,1,0,0,0,0,0,0
definitive,sample_v1,2026-05-07,,UNI04,Università degli Studi di Firenze,Centro,statale,Firenze,https://www.unifi.it/,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea,C008,"Pratiche, linguaggi e culture della comunicazione",LM-92,,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,unifi_course_site,0,https://www.unifi.it/,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,1,3,34,onsite_search,manual journey collected 2026-04-21 via homepage > Corsi di laurea > magistrali listing search; filtered listing returned the official ateneo course card directly,1,,2,1,1,1,1,1,1,1,1,1,8,1.0,"[B385] PRATICHE, LINGUAGGI E CULTURE DELLA COMUNICAZIONE | Università di Firenze",3,0,0,1,0,0,indexable,"""Pratiche, linguaggi e culture della comunicazione"" ""Università degli Studi di Firenze""",1,"Pratiche, linguaggi e culture della comunicazione UniFi",1,1,0,,1,1,1,1,1,1,1.0,0,CR037,1,1,1,1,2,0,0,0,1,0,api_primary,standard,WVRUN_001,0.69,1,1,0.92,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,linked_official_page,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,not_observed,1,1.0,1,1,0,1,1,0,0,JR0008,WVRUN_001,CR037,STRUN_001,SD0016,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0016.html,,validated,,0,1,0,0,0,0,0,0
definitive,sample_v1,2026-05-07,,UNI05,Università degli Studi di Siena,Centro,statale,Siena,https://www.unisi.it/,https://www.unisi.it/didattica,C009,Scienze della comunicazione,L-20,,https://scienze-comunicazione.unisi.it/it,https://scienze-comunicazione.unisi.it/it,unisi_course_site,0,https://www.unisi.it/,https://scienze-comunicazione.unisi.it/it,1,4,36,cta,manual journey collected 2026-04-21 via homepage > Didattica > Corsi di studio 2025-2026 > U-GOV course sheet > dedicated course site CTA,0,,1,0,1,1,0,0,1,1,1,1,6,0.75,SCIENZE DELLA COMUNICAZIONE |,2,0,0,1,0,0,indexable,"""Scienze della comunicazione"" ""Università degli Studi di Siena""",1,Scienze della comunicazione UniSi,1,1,0,,1,1,1,1,1,1,1.0,0,CR037,1,1,0,1,2,0,0,not_applicable,0,0,api_primary,standard,WVRUN_001,0.57,0.93,0.96,0.92,mobile,CR034,present,ambiguous,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,present,heading_or_summary,ambiguous,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,present,linked_official_page,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,present,linked_official_page,ambiguous,present,linked_official_page,ambiguous,present,linked_official_page,ambiguous,not_observed,not_observed,not_applicable,not_observed,not_observed,not_applicable,not_observed,0,0.7143,1,0,0,1,1,0,0,JR0009,WVRUN_001,CR037,STRUN_001,SD0019,https://scienze-comunicazione.unisi.it/it,artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html,,validated,,0,1,0,0,0,0,0,0
