sample_course_id,source_document_id,storage_path,lang_declared,title_text,title_quality_score_heuristic,meta_description_present,meta_description_quality_score_heuristic,canonical_present,structured_data_course,structured_data_breadcrumb,indexability_status,skip_link_present,h1_present,heading_structure_score_heuristic,breadcrumb_present,accessibility_statement_present,missing_alt_count,empty_link_count,form_label_issue_count,parse_warnings
C001,SD0003,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0003.html,1,Scienze della comunicazione - Laurea - Bologna,4,1,2,1,0,0,indexable,1,1,3,0,1,0,1,0,
C002,SD0004,artifacts/runs/CR001_2026-04-03_tranche01_uni01_uni02/SD0004.html,1,Semiotica — Università di Bologna,3,0,0,1,0,0,indexable,0,1,3,0,1,0,0,0,
C003,SD0089,artifacts/runs/CR015_2026-04-20_unipd_platform_normalization/SD0089.html,1,COMUNICAZIONE | Università di Padova,3,1,1,0,0,0,indexable,0,1,1,1,1,0,2,1,
C004,SD0090,artifacts/runs/CR017_2026-04-21_unipd_c004_resolution/SD0090.html,1,STRATEGIE DI COMUNICAZIONE | Università di Padova,3,1,1,0,0,0,indexable,0,1,1,1,1,0,2,1,
C005,SD0011,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0011.html,1,Discipline dello spettacolo e della comunicazione ~ UNIPI,2,0,0,1,0,0,indexable,1,1,1,1,1,0,4,0,
C006,SD0012,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0012.html,1,"Comunicazione, media, tecnologie ~ UNIPI",2,0,0,1,0,0,indexable,1,1,1,1,1,0,4,0,
C007,SD0015,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0015.html,1,Scienze Umanistiche per la Comunicazione | Università di Firenze,3,0,0,1,0,0,indexable,1,1,1,1,1,0,0,1,
C008,SD0016,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0016.html,1,"[B385] PRATICHE, LINGUAGGI E CULTURE DELLA COMUNICAZIONE | Università di Firenze",3,0,0,1,0,0,indexable,1,1,2,1,1,0,0,1,
C009,SD0019,artifacts/runs/CR002_2026-04-03_tranche02_uni03_uni05/SD0019.html,1,SCIENZE DELLA COMUNICAZIONE |,2,0,0,1,0,0,indexable,1,1,2,0,0,0,0,not_applicable,
C010,SD0091,artifacts/runs/CR019_2026-04-21_unisi_c010_normalization/SD0091.html,1,[D615] STRATEGIE E TECNICHE DELLA COMUNICAZIONE | Università degli Studi di Siena,3,0,0,0,0,0,indexable,1,1,1,0,1,1,0,not_applicable,
C011,SD0024,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0024.html,1,[2705L31] SCIENZE DELLA COMUNICAZIONE | Università di Torino,3,0,0,1,0,0,indexable,1,1,3,1,1,0,0,0,
C012,SD0025,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0025.html,1,[0507M21] COMUNICAZIONE E CULTURE DEI MEDIA | Università di Torino,3,0,0,1,0,0,indexable,1,1,3,1,1,0,0,0,
C013,SD0028,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0028.html,1,"CORSO DI LAUREA TRIENNALE (D.M. 1648/2023) in  MEDIA, COMUNICAZIONE E SOCIETÀ | UniGe | Università di Genova | Corsi di Studio UniGe",4,0,0,0,0,0,indexable,1,1,1,1,1,0,8,0,
C014,SD0029,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0029.html,1,CORSO DI LAUREA MAGISTRALE (D.M. 1649/2023) in  DIGITAL HUMANITIES - INTERACTIVE SYSTEMS AND DIGITAL MEDIA | UniGe | Università di Genova | Corsi di Studio UniGe,4,0,0,0,0,0,indexable,1,1,1,1,1,2,8,0,
C015,SD0032,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0032.html,1,Comunicazione interculturale | Università degli Studi di Milano-Bicocca,3,0,0,1,0,0,indexable,1,1,2,1,1,0,0,0,
C016,SD0033,artifacts/runs/CR004_2026-04-03_tranche03_uni06_uni08/SD0033.html,1,Teoria e tecnologia della comunicazione | Università degli Studi di Milano-Bicocca,3,0,0,1,0,0,indexable,1,1,2,1,1,0,0,0,
C017,SD0036,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0036.html,1,Comunicazione e società (CES) | Università degli Studi di Milano Statale,3,0,0,1,0,0,indexable,1,1,1,1,1,0,0,0,
C018,SD0037,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0037.html,1,"Editoria, culture della comunicazione e della moda | Università degli Studi di Milano Statale",3,0,0,1,0,0,indexable,1,1,1,1,1,0,0,0,
C019,SD0040,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0040.html,1,[SU02] SCIENZE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,3,0,0,1,0,0,indexable,1,1,2,1,1,0,0,1,
C020,SD0041,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0041.html,1,[SU03] SCIENZE E TECNICHE DELLA COMUNICAZIONE | Università degli studi dell'Insubria,3,0,0,1,0,0,indexable,1,1,2,1,1,0,0,1,
C021,SD0044,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0044.html,1,Scienze della Comunicazione | Home,2,0,0,0,0,0,indexable,1,1,1,1,1,0,1,0,
C022,SD0045,artifacts/runs/CR005_2026-04-03_tranche04_uni09_uni11/SD0045.html,1,Corporate Communication e Media | Home,2,0,0,0,0,0,indexable,1,1,1,1,1,0,1,0,
C023,SD0049,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0049.html,1,Scienze della Comunicazione - Università Roma Tre,3,1,3,1,0,0,indexable,0,1,1,0,1,0,2,1,
C024,SD0050,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0050.html,1,Scienze Cognitive della Comunicazione e dell'Azione - Università Roma Tre,3,1,3,1,0,0,indexable,0,1,1,0,1,0,2,1,
C025,SD0053,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0053.html,1,2447 - SCIENZE DELLA COMUNICAZIONE | Università degli Studi di Palermo,3,1,1,0,0,0,indexable,1,0,1,1,1,1,1,2,
C026,SD0054,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0054.html,1,2215 - COMUNICAZIONE DEL PATRIMONIO CULTURALE | Università degli Studi di Palermo,3,1,1,0,0,0,indexable,1,0,1,1,1,9,9,2,
C027,SD0057,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0057.html,1,Corso di laurea in Comunicazione internazionale e pubblicitaria (ComIP),3,0,0,1,0,1,indexable,1,1,1,1,1,0,0,0,
C028,SD0058,artifacts/runs/CR007_2026-04-03_tranche05_uni12_uni14/SD0058.html,1,"Corso di laurea magistrale in Comunicazione pubblicitaria, storytelling e cultura d'immagine (ComPSI)",3,0,0,1,0,1,indexable,1,1,1,1,1,0,0,0,
C029,SD0063,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0063.html,1,"INFORMAZIONE, MEDIA, PUBBLICITà - A.A. 2025/2026 - LAUREA",3,1,3,1,0,0,indexable,0,1,1,1,1,0,2,not_applicable,
C030,SD0064,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0064.html,1,COMUNICAZIONE DIGITALE PER LA CULTURA - A.A. 2025/2026 - LAUREA MAGISTRALE,3,1,3,1,0,0,indexable,0,1,1,1,1,0,2,not_applicable,
C031,SD0067,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0067.html,1,Indirizzo: Comunicazione digitale d'impresa,2,1,3,0,0,0,indexable,1,1,1,0,0,0,0,0,
C032,SD0068,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0068.html,1,"Culture, linguaggi e strategie per la comunicazione nell'era digitale",2,1,3,0,0,0,indexable,1,0,0,0,0,0,0,0,
C033,SD0071,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0071.html,1,Il Corso - COMUNICAZIONE E DAMS - Corsi di Laurea,3,1,1,0,0,0,non_indexable,0,0,0,1,1,3,0,3,
C034,SD0072,artifacts/runs/CR010_2026-04-03_tranche06_uni15_uni17/SD0072.html,1,LINGUAGGI DELLA COMUNICAZIONE E DELLO SPETTACOLO - Corsi di Laurea,3,1,1,0,0,0,indexable,0,0,0,1,1,9,0,3,
C035,SD0076,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0076.html,1,Corsi di Studio | Unina.it,2,0,0,0,0,0,indexable,0,0,0,0,0,0,0,not_applicable,
C036,SD0077,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0077.html,1,Corsi di Studio | Unina.it,2,0,0,0,0,0,indexable,0,0,0,0,0,0,0,not_applicable,
C037,SD0080,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0080.html,1,[92-R] SCIENZE DELLA COMUNICAZIONE | Università degli studi di Bergamo,3,0,0,1,0,0,indexable,1,1,3,1,1,0,0,0,
C038,SD0081,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0081.html,1,Valorizzazione del Patrimonio Culturale Materiale e Immateriale | UniBG,2,0,0,1,0,0,indexable,1,1,1,0,0,0,0,2,
C039,SD0084,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0084.html,1,Beni culturali | UniTrento,2,0,0,1,0,0,indexable,1,1,1,0,1,0,0,not_applicable,
C040,SD0085,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0085.html,1,"Organizzazione, società e tecnologia | UniTrento",2,0,0,1,0,0,indexable,1,1,1,0,1,0,0,not_applicable,
C041,SD0086,artifacts/runs/CR012_2026-04-07_tranche07_uni18_uni20/SD0086.html,1,Giurisprudenza | UniTrento,2,0,0,1,0,0,indexable,1,1,1,0,1,0,0,not_applicable,
