sample_course_id,university_id,university_name,course_name,degree_type,course_class,disciplinary_cluster,selection_role,selection_priority,course_page_url,url_origin,normalization_status,selection_rationale,notes
C001,UNI01,Università degli Studi di Bologna,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://corsi.unibo.it/laurea/ScienzeComunicazione,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course homepage
C002,UNI01,Università degli Studi di Bologna,Semiotica,magistrale,LM-92,communication_media,core_magistrale,core,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,official_search_apr2026,normalized_to_official_ateneo_card,pilot magistrale retained and normalized to ateneo card,official Unibo lauree magistrali card
C003,UNI02,Università degli Studi di Padova,Comunicazione,triennale,L-20,communication_media,core_triennale,core,https://www.unipd.it/corsi-di-laurea/comunicazione,official_search_apr2026,normalized_platform_migration,communication L-course paired with pilot magistrale,official course page; URL updated 2026-04-20 after Unipd platform migration to Next.js/React; old /offerta-didattica URL dead (308); new URL confirmed 200 as SD0089
C004,UNI02,Università degli Studi di Padova,Strategie di comunicazione,magistrale,LM-92,communication_media,core_magistrale,core,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,official_search_apr2026,normalized_platform_migration,pilot magistrale retained and normalized to ateneo course card,official course page; URL verified 2026-04-21 on current Next.js slug /corsi-di-laurea/strategie-di-comunicazione (SD0090); replaces dead pre-migration /offerta-didattica seed
C005,UNI03,Università degli Studi di Pisa,Discipline dello spettacolo e della comunicazione,triennale,L-3/L-20,communication_media_culture,core_triennale,core,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,official_search_apr2026,searched_seed,communication adjacent triennale paired with pilot magistrale,interclass course
C006,UNI03,Università degli Studi di Pisa,"Comunicazione, Media, Tecnologie",magistrale,LM-92,communication_media,core_magistrale,core,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,official_search_apr2026,normalized_to_official_ateneo_card,pilot magistrale retained and normalized to ateneo card,official UniPi didattica card; canonical lauree-magistrali path confirmed 2026-04-07
C007,UNI04,Università degli Studi di Firenze,Scienze Umanistiche per la Comunicazione,triennale,L-20,communication_humanities,core_triennale,core,https://www.unifi.it/it/node/6520,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,ateneo course page
C008,UNI04,Università degli Studi di Firenze,"Pratiche, linguaggi e culture della comunicazione",magistrale,LM-92,communication_humanities,core_magistrale,core,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,official_search_apr2026,normalized_to_official_ateneo_card,pilot magistrale retained and normalized to ateneo card,official UniFi course card with link to dedicated site
C009,UNI05,Università degli Studi di Siena,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://scienze-comunicazione.unisi.it/it,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,dedicated course site surfaced via official search
C010,UNI05,Università degli Studi di Siena,Strategie e tecniche della comunicazione,magistrale,LM-92,communication_media,core_magistrale,core,https://www.unisi.it/ugov/degree/82714,official_search_apr2026,normalized_to_current_active_course_sheet,pilot magistrale retained and normalized to current active UniSi course sheet,official UniSi course sheet; updated 2026-04-21 from historical D003 /ugov/degree/22463 to current D615 /ugov/degree/82714 surfaced by the 2025-2026 listing; historical sheet retained only in provenance
C011,UNI06,Università degli Studi di Torino,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course card
C012,UNI06,Università degli Studi di Torino,Comunicazione e culture dei media,magistrale,LM-92,communication_media_culture,core_magistrale,core,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,official_search_apr2026,normalized_to_official_ateneo_card,pilot magistrale retained and normalized to ateneo card,official UniTo course card
C013,UNI07,Università degli Studi di Genova,"Media, comunicazione e società",triennale,L-20,communication_media,core_triennale,core,https://corsi.unige.it/corsi/11938,official_search_apr2026,normalized_to_current_active_course,current active communication L-course replacing archived seed,current active course; canonical /corsi/11938 confirmed live 2026-04-21; short /11938 retained only as redirect seed
C014,UNI07,Università degli Studi di Genova,Digital Humanities - Interactive systems and digital media,magistrale,LM-92,communication_digital_humanities,core_magistrale,core,https://corsi.unige.it/corsi/11945,official_search_apr2026,normalized_to_official_course_portal,pilot magistrale retained and normalized to canonical course portal root,official UniGe course portal; canonical /corsi/11945 confirmed live 2026-04-21; short /11945 retained only as redirect seed
C015,UNI08,Università degli Studi di Milano-Bicocca,Comunicazione interculturale,triennale,L-20,communication_intercultural,core_triennale,core,https://www.unimib.it/triennale/comunicazione-interculturale,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course page
C016,UNI08,Università degli Studi di Milano-Bicocca,Teoria e tecnologia della comunicazione,magistrale,LM-92,communication_digital_humanities,core_magistrale,core,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,pilot_lm92_seed,reviewed_canonical_ateneo_card,pilot magistrale retained on official ateneo card,official UniMib course page confirmed
C017,UNI09,Università degli Studi di Milano,Comunicazione e società,triennale,L-20,communication_media,core_triennale,core,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course page
C018,UNI09,Università degli Studi di Milano,"Editoria, culture della comunicazione e della moda",magistrale,LM-92,communication_media_culture,core_magistrale,core,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,pilot_lm92_seed,reviewed_canonical_ateneo_card,pilot magistrale retained on official ateneo card,official UniMi course page confirmed
C019,UNI10,Università degli Studi dell'Insubria,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,official_search_apr2026,normalized_to_official_slug,communication L-course paired with pilot magistrale,official course slug confirmed on ateneo site
C020,UNI10,Università degli Studi dell'Insubria,Scienze e Tecniche della Comunicazione,magistrale,LM-92,communication_media,core_magistrale,core,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,pilot_lm92_seed,reviewed_canonical,pilot magistrale retained for definitive seed,class confirmed on official course page
C021,UNI11,Università degli Studi di Salerno,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://corsi.unisa.it/scienze-della-comunicazione,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course portal
C022,UNI11,Università degli Studi di Salerno,Corporate Communication e Media (interclasse LM-59/LM-92),magistrale,LM-59/LM-92,communication_media,core_magistrale,core,https://corsi.unisa.it/corporate-communication-e-media,pilot_lm92_seed,reviewed_canonical_ateneo_portal,pilot magistrale retained on official ateneo portal,official UniSa course portal confirmed
C023,UNI12,Università degli Studi Roma Tre,Scienze della comunicazione,triennale,L-20,communication_media,core_triennale,core,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,official course card
C024,UNI12,Università degli Studi Roma Tre,Scienze cognitive della comunicazione e dell'azione,magistrale,LM-92,communication_cognitive,core_magistrale,core,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,pilot_lm92_seed,reviewed_canonical_ateneo_card,pilot magistrale retained on official ateneo card,official Roma Tre course card confirmed
C025,UNI13,Università degli Studi di Palermo,Scienze della Comunicazione,triennale,L-20,communication_media,core_triennale,core,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,current renewed course
C026,UNI13,Università degli Studi di Palermo,Comunicazione del patrimonio culturale,magistrale,LM-92,communication_cultural_heritage,core_magistrale,core,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,pilot_lm92_seed,reviewed_canonical_ateneo_course_page,pilot magistrale retained on official ateneo course page,official UniPa course page confirmed
C027,UNI14,Università per Stranieri di Perugia,Comunicazione internazionale e pubblicitaria,triennale,L-20,communication_international,core_triennale,core,https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,official_search_apr2026,normalized_to_official_ateneo_page,communication L-course paired with pilot magistrale,official Unistrapg course page; canonical Italian page confirmed live 2026-04-21; short /comip retained only as redirect seed
C028,UNI14,Università per Stranieri di Perugia,"Comunicazione pubblicitaria, storytelling e cultura d'immagine",magistrale,LM-92,communication_media_culture,core_magistrale,core,https://www.unistrapg.it/it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,pilot_lm92_seed,normalized_to_official_ateneo_page,pilot magistrale retained and normalized to canonical ateneo course page,official Unistrapg course page; canonical /it/ URL confirmed live 2026-04-23; non-/it/ seed URL and short /compsi slug both 301 to canonical; short /compsi retained only as redirect seed
C029,UNI15,Università degli Studi di Urbino Carlo Bo,"Informazione, Media, Pubblicità",triennale,L-20,communication_media,core_triennale,core,https://www.uniurb.it/corsi/1757256,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,current active triennale
C030,UNI15,Università degli Studi di Urbino Carlo Bo,Comunicazione Digitale per la Cultura,magistrale,LM-92,communication_cultural_heritage,core_magistrale,core,https://www.uniurb.it/corsi/1757220,pilot_lm92_seed,reviewed_canonical_ateneo_card,pilot magistrale retained on official ateneo course page,official UniUrb course page confirmed
C031,UNI16,Università Telematica Internazionale Uninettuno,Comunicazione digitale d'impresa,triennale,L-20,communication_digital,core_triennale,core,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,official_search_apr2026,searched_seed,communication L-course paired with pilot magistrale,selected one curriculum page within communication degree
C032,UNI16,Università Telematica Internazionale Uninettuno,"Culture, linguaggi e strategie per la comunicazione nell'era digitale",magistrale,LM-92,communication_digital,core_magistrale,core,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,official_search_apr2026,normalized_to_official_ateneo_page,pilot magistrale retained and normalized to canonical ateneo page,official Uninettuno page without tracking parameters
C033,UNI17,Università della Calabria,Comunicazione e DAMS,triennale,L-3/L-20,communication_media_culture,core_triennale,core,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,official_search_apr2026,searched_seed,communication adjacent triennale paired with pilot magistrale,interclass confirmed from official Unical materials
C034,UNI17,Università della Calabria,Linguaggi della comunicazione e dello spettacolo,magistrale,LM-92,communication_media_culture,core_magistrale,core,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,pilot_lm92_seed,reviewed_canonical_ateneo_portal,pilot magistrale retained on official ateneo portal,official UniCal course portal confirmed
C035,UNI18,"Università degli Studi di Napoli ""Federico II""",Culture digitali e della comunicazione,triennale,L-40,communication_digital,core_triennale,core,https://www.corsi.unina.it/D27/home,department_page_referral_apr2026,normalized_to_course_portal,communication adjacent triennale paired with pilot magistrale,class confirmed on department page; target course portal is JS heavy
C036,UNI18,"Università degli Studi di Napoli ""Federico II""","Digital Society, Social Innovation and Global Citizenship",magistrale,LM-92,communication_digital,core_magistrale,core,https://www.corsi.unina.it/DA2/home,pilot_lm92_seed,reviewed_js_heavy_portal,pilot magistrale retained for definitive seed,JS heavy course portal confirmed
C037,UNI19,Università degli Studi di Bergamo,Scienze della Comunicazione,triennale,L-20,communication_media,core_triennale,core,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,official_search_apr2026,searched_seed,communication L-course paired with pilot seed,current official course page
C038,UNI19,Università degli Studi di Bergamo,Valorizzazione del patrimonio culturale materiale e immateriale,magistrale,LM-5/LM-92,communication_cultural_heritage,core_magistrale,core,https://ls-vpcm.unibg.it/it,pilot_lm92_seed,reviewed_interclass,pilot magistrale retained for definitive seed,interclass confirmed on official UniBg overview
C039,UNI20,Università degli Studi di Trento,Beni culturali,triennale,L-1,humanities_cultural_heritage,core_triennale,core,https://corsi.unitn.it/it/beni-culturali,official_search_apr2026,searched_seed,humanities triennale added because no direct L-20 surfaced in quick pass,selected to widen disciplinary mix
C040,UNI20,Università degli Studi di Trento,"Organizzazione, società e tecnologia",magistrale,LM-88,social_sciences_technology,core_magistrale,core,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,official_search_apr2026,searched_seed,digital society oriented magistrale added for Trento,current official course page
C041,UNI20,Università degli Studi di Trento,Giurisprudenza,ciclo_unico,LMG/01,law,optional_cycle_unique,optional,https://corsi.unitn.it/it/giurisprudenza,official_search_apr2026,searched_seed,optional cycle unique added to diversify degree types,keep only if third course per ateneo is desired
