lighthouse_target_id,source_document_id,crawl_run_id,university_id,sample_course_id,journey_id,page_role,source_kind,default_strategy,default_device_category,scope_status,selection_rule,js_dependency_level_preaudit,tested_url,final_url,notes
LH_HOME_UNI01,SD0001,CR001,UNI01,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unibo.it/,https://www.unibo.it/it,tranche1; final URL redirects from root to /it
LH_HOME_UNI02,SD0005,CR001,UNI02,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unipd.it/,https://www.unipd.it/,tranche1; homepage snapshot
LH_HOME_UNI03,SD0009,CR002,UNI03,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unipi.it/,https://www.unipi.it/,tranche2; homepage snapshot
LH_HOME_UNI04,SD0013,CR002,UNI04,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unifi.it/,https://www.unifi.it:443/it,tranche2; final URL adds /it locale path
LH_HOME_UNI05,SD0017,CR002,UNI05,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unisi.it/,https://www.unisi.it/,tranche2; homepage snapshot
LH_HOME_UNI06,SD0022,CR004,UNI06,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unito.it/,https://www.unito.it/,tranche3; homepage snapshot
LH_HOME_UNI07,SD0026,CR004,UNI07,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://unige.it/,https://unige.it/,tranche3; homepage snapshot
LH_HOME_UNI08,SD0030,CR004,UNI08,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unimib.it/,https://www.unimib.it/,tranche3; homepage snapshot
LH_HOME_UNI09,SD0034,CR005,UNI09,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unimi.it/,https://www.unimi.it/it,tranche4; final URL redirects from root to /it
LH_HOME_UNI10,SD0038,CR005,UNI10,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.uninsubria.it/,https://www.uninsubria.it/,tranche4; homepage snapshot
LH_HOME_UNI11,SD0042,CR005,UNI11,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unisa.it/,https://www.unisa.it/,tranche4; homepage snapshot
LH_HOME_UNI12,SD0047,CR007,UNI12,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.uniroma3.it/,https://www.uniroma3.it/,tranche5; homepage snapshot
LH_HOME_UNI13,SD0051,CR007,UNI13,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unipa.it/,https://www.unipa.it/,tranche5; homepage snapshot
LH_HOME_UNI14,SD0055,CR007,UNI14,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unistrapg.it/,https://www.unistrapg.it/,tranche5; homepage snapshot
LH_HOME_UNI15,SD0061,CR010,UNI15,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.uniurb.it/,https://www.uniurb.it/,tranche6; fetched with browser user-agent and HTTP/1.1 after empty reply on default curl; homepage snapshot
LH_HOME_UNI16,SD0065,CR010,UNI16,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.uninettunouniversity.net/,http://www.uninettunouniversity.net/en/default.aspx,tranche6; source seed redirects from root to English default homepage
LH_HOME_UNI17,SD0069,CR010,UNI17,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unical.it/,https://www.unical.it/,tranche6; homepage snapshot
LH_HOME_UNI18,SD0074,CR012,UNI18,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unina.it/,https://www.unina.it/it/,tranche7; fetched with browser user-agent and HTTP/1.1 after default curl returned 403; final URL redirects from root to /it/
LH_HOME_UNI19,SD0078,CR012,UNI19,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unibg.it/,https://www.unibg.it/,tranche7; homepage snapshot
LH_HOME_UNI20,SD0082,CR012,UNI20,,,university_homepage,master_reference,mobile,mobile,canonical_default,latest_nonpilot_homepage,,https://www.unitn.it/,https://www.unitn.it/it,tranche7; final URL redirects from root to /it
LH_COURSE_C001,SD0003,CR001,UNI01,C001,J001,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unibo.it/laurea/ScienzeComunicazione,https://corsi.unibo.it/laurea/ScienzeComunicazione,tranche1; official course portal
LH_COURSE_C002,SD0004,CR001,UNI01,C002,J002,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,tranche1; official ateneo course card
LH_COURSE_C003,SD0089,CR015,UNI02,C003,J003,course_page,normalization_check,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://www.unipd.it/corsi-di-laurea/comunicazione,https://www.unipd.it/corsi-di-laurea/comunicazione,CR015; new canonical URL for C003/J003 post Unipd platform migration; L-20 confirmed in static HTML; replaces dead SD0007 (/offerta-didattica/... -> 308 -> homepage)
LH_COURSE_C004,SD0090,CR017,UNI02,C004,J004,course_page,normalization_check,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,CR017; canonical C004/J004 URL resolved on the current Next.js platform; replaces dead pre-migration /offerta-didattica seed
LH_COURSE_C005,SD0011,CR002,UNI03,C005,J005,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l/,tranche2; official ateneo course page
LH_COURSE_C006,SD0012,CR002,UNI03,C006,J006,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/comunicazione-media-tecnologie-wcm-lm,https://www.unipi.it/didattica/corsi/lauree-magistrali/comunicazione-media-tecnologie-wcm-lm/,tranche2; final URL normalized from master seed to the lauree-magistrali path
LH_COURSE_C007,SD0015,CR002,UNI04,C007,J007,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unifi.it/it/node/6520,https://www.unifi.it/it/node/6520,tranche2; collected before hub normalization; parent relinked to normalized programmes hub SD0021 in CR003
LH_COURSE_C008,SD0016,CR002,UNI04,C008,J008,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,tranche2; collected before hub normalization; parent relinked to normalized programmes hub SD0021 in CR003
LH_COURSE_C009,SD0019,CR002,UNI05,C009,J009,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://scienze-comunicazione.unisi.it/it,https://scienze-comunicazione.unisi.it/it,tranche2; dedicated course site surfaced from definitive master
LH_COURSE_C010,SD0091,CR019,UNI05,C010,J010,course_page,normalization_check,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unisi.it/ugov/degree/82714,https://www.unisi.it/ugov/degree/82714,CR019; current official C010/J010 U-GOV sheet surfaced by Didattica > Corsi di studio 2025-2026; replaces historical D003 /ugov/degree/22463 as master target while older sheet remains in provenance
LH_COURSE_C011,SD0024,CR004,UNI06,C011,J011,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,tranche3; official ateneo course card
LH_COURSE_C012,SD0025,CR004,UNI06,C012,J012,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,tranche3; official ateneo course card
LH_COURSE_C013,SD0028,CR004,UNI07,C013,J013,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unige.it/11938,https://corsi.unige.it/corsi/11938,tranche3; source seed redirects to canonical /corsi/11938
LH_COURSE_C014,SD0029,CR004,UNI07,C014,J014,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unige.it/11945,https://corsi.unige.it/corsi/11945,tranche3; source seed redirects to canonical /corsi/11945
LH_COURSE_C015,SD0032,CR004,UNI08,C015,J015,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unimib.it/triennale/comunicazione-interculturale,https://www.unimib.it/triennale/comunicazione-interculturale,tranche3; official course page
LH_COURSE_C016,SD0033,CR004,UNI08,C016,J016,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,tranche3; official course page
LH_COURSE_C017,SD0036,CR005,UNI09,C017,J017,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,tranche4; official course page
LH_COURSE_C018,SD0037,CR005,UNI09,C018,J018,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,tranche4; official course page
LH_COURSE_C019,SD0040,CR005,UNI10,C019,J019,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,tranche4; collected before hub normalization; parent relinked to normalized programmes hub SD0046 in CR006
LH_COURSE_C020,SD0041,CR005,UNI10,C020,J020,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,tranche4; collected before hub normalization; parent relinked to normalized programmes hub SD0046 in CR006
LH_COURSE_C021,SD0044,CR005,UNI11,C021,J021,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unisa.it/scienze-della-comunicazione,https://corsi.unisa.it/scienze-della-comunicazione,tranche4; official course portal
LH_COURSE_C022,SD0045,CR005,UNI11,C022,J022,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unisa.it/corporate-communication-e-media,https://corsi.unisa.it/corporate-communication-e-media,tranche4; official course portal
LH_COURSE_C023,SD0049,CR007,UNI12,C023,J023,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,tranche5; collected before hub normalization; parent relinked to normalized programmes hub SD0059 in CR008
LH_COURSE_C024,SD0050,CR007,UNI12,C024,J024,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,tranche5; collected before hub normalization; parent relinked to normalized programmes hub SD0059 in CR008
LH_COURSE_C025,SD0053,CR007,UNI13,C025,J025,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,tranche5; collected before hub normalization; parent relinked to normalized programmes hub SD0060 in CR009
LH_COURSE_C026,SD0054,CR007,UNI13,C026,J026,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,tranche5; collected before hub normalization; parent relinked to normalized programmes hub SD0060 in CR009
LH_COURSE_C027,SD0057,CR007,UNI14,C027,J027,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unistrapg.it/comip,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-comunicazione-internazionale-e-pubblicitaria-comip,tranche5; source seed redirects to canonical offerta formativa course page
LH_COURSE_C028,SD0058,CR007,UNI14,C028,J028,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,tranche5; official course page
LH_COURSE_C029,SD0063,CR010,UNI15,C029,J029,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uniurb.it/corsi/1757256,https://www.uniurb.it/corsi/1757256,tranche6; fetched with browser user-agent and HTTP/1.1 after empty reply on default curl; parent relinked to normalized programmes hub SD0073 in CR011
LH_COURSE_C030,SD0064,CR010,UNI15,C030,J030,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uniurb.it/corsi/1757220,https://www.uniurb.it/corsi/1757220,tranche6; fetched with browser user-agent and HTTP/1.1 after empty reply on default curl; parent relinked to normalized programmes hub SD0073 in CR011
LH_COURSE_C031,SD0067,CR010,UNI16,C031,J031,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,tranche6; official curriculum page
LH_COURSE_C032,SD0068,CR010,UNI16,C032,J032,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,tranche6; official course page
LH_COURSE_C033,SD0071,CR010,UNI17,C033,J033,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,tranche6; official course page
LH_COURSE_C034,SD0072,CR010,UNI17,C034,J034,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,tranche6; official course page
LH_COURSE_C035,SD0076,CR012,UNI18,C035,J035,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,high,https://www.corsi.unina.it/D27/home,https://www.corsi.unina.it/D27/home,tranche7; JS-heavy course portal shell page collected before hub normalization; parent relinked to normalized programmes hub SD0087 in CR013
LH_COURSE_C036,SD0077,CR012,UNI18,C036,J036,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,high,https://www.corsi.unina.it/DA2/home,https://www.corsi.unina.it/DA2/home,tranche7; JS-heavy course portal shell page collected before hub normalization; parent relinked to normalized programmes hub SD0087 in CR013
LH_COURSE_C037,SD0080,CR012,UNI19,C037,J037,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,tranche7; official course page
LH_COURSE_C038,SD0081,CR012,UNI19,C038,J038,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://ls-vpcm.unibg.it/it,https://ls-vpcm.unibg.it/it,tranche7; official interclass course site
LH_COURSE_C039,SD0084,CR012,UNI20,C039,J039,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unitn.it/it/beni-culturali,https://corsi.unitn.it/it/beni-culturali,tranche7; official course page
LH_COURSE_C040,SD0085,CR012,UNI20,C040,J040,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,medium,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,tranche7; official course page
LH_COURSE_C041,SD0086,CR012,UNI20,C041,J041,course_page,course_seed,mobile,mobile,canonical_default,latest_nonpilot_course_page,low,https://corsi.unitn.it/it/giurisprudenza,https://corsi.unitn.it/it/giurisprudenza,tranche7; official course page
