course_id,university_id,journey_id,source_document_id,target_url,static_html_path,render_mode,js_dependency_level_preaudit,expected_artifact_path,rendered_artifact_path,rendered_screenshot_path,rendered_log_path,rendered_capture_status,rendered_captured_at,rendered_dom_sha256,notes
C001,UNI01,J001,SD0003,https://corsi.unibo.it/laurea/ScienzeComunicazione,artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html,raw_http,low,artifacts/journeys/J001_C001_scienze-della-comunicazione/source/SD0003.html,,,,n_a,,,course_master_notes=official course homepage
C002,UNI01,J002,SD0004,https://www.unibo.it/it/studiare/lauree-magistrali/corso/2025/6824,artifacts/journeys/J002_C002_semiotica/source/SD0004.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C002.html,artifacts/runs/STRUN_001/source_rendered/C002.html,artifacts/runs/STRUN_001/screenshots/C002.png,artifacts/runs/STRUN_001/logs/C002.json,captured,2026-05-06T18:57:25.062603+00:00,4315c5de0b15384e87549469a791c74cca90acee145b7738157f029fb51f2db4,js_dependency=medium; course_master_notes=official Unibo lauree magistrali card
C003,UNI02,J003,SD0089,https://www.unipd.it/corsi-di-laurea/comunicazione,artifacts/journeys/J003_C003_comunicazione/source/SD0089.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C003.html,artifacts/runs/STRUN_001/source_rendered/C003.html,artifacts/runs/STRUN_001/screenshots/C003.png,artifacts/runs/STRUN_001/logs/C003.json,captured,2026-05-06T18:57:33.038539+00:00,092c8d8ac7b8d6cdd19c68f2a1e8f3d5e077ff09190ec7e07efc652a3fcd6edf,js_dependency=medium; course_master_notes=official course page; URL updated 2026-04-20 after Unipd platform migration to N
C004,UNI02,J004,SD0090,https://www.unipd.it/corsi-di-laurea/strategie-di-comunicazione,artifacts/journeys/J004_C004_strategie-di-comunicazione/source/SD0090.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C004.html,artifacts/runs/STRUN_001/source_rendered/C004.html,artifacts/runs/STRUN_001/screenshots/C004.png,artifacts/runs/STRUN_001/logs/C004.json,captured,2026-05-06T18:57:37.926884+00:00,c50017be6f7fd6b59c3007ae61b67a010ae8c4e4a993f8b6276b4a8e3ca6c0db,js_dependency=medium; course_master_notes=official course page; URL verified 2026-04-21 on current Next.js slug /corsi-di-
C005,UNI03,J005,SD0011,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/discipline-dello-spettacolo-e-della-comunicazione-dscr-l,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0011.html,raw_http,low,artifacts/journeys/J005_C005_discipline-dello-spettacolo-e-della-comunicazione/source/SD0011.html,,,,n_a,,,course_master_notes=interclass course
C006,UNI03,J006,SD0012,https://www.unipi.it/didattica/corsi/lauree-triennali-ciclo-unico/comunicazione-media-tecnologie-wcm-lm,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.html,raw_http,low,artifacts/journeys/J006_C006_comunicazione-media-tecnologie/source/SD0012.html,,,,n_a,,,course_master_notes=official UniPi didattica card; canonical lauree-magistrali path confirmed 2026-0
C007,UNI04,J007,SD0015,https://www.unifi.it/it/node/6520,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html,raw_http,low,artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html,,,,n_a,,,course_master_notes=ateneo course page
C008,UNI04,J008,SD0016,https://www.unifi.it/it/studia-con-noi/corsi-di-laurea/corsi-di-laurea-magistrali/pratiche-linguaggi-e-culture-della,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0016.html,raw_http,low,artifacts/journeys/J008_C008_pratiche-linguaggi-e-culture-della-comunicazione/source/SD0016.html,,,,n_a,,,course_master_notes=official UniFi course card with link to dedicated site
C009,UNI05,J009,SD0019,https://scienze-comunicazione.unisi.it/it,artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html,raw_http,low,artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html,,,,n_a,,,course_master_notes=dedicated course site surfaced via official search
C010,UNI05,J010,SD0091,https://www.unisi.it/ugov/degree/82714,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html,raw_http,low,artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html,,,,n_a,,,course_master_notes=official UniSi course sheet; updated 2026-04-21 from historical D003 /ugov/degre
C011,UNI06,J011,SD0024,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/scienze-della-comunicazione,artifacts/journeys/J011_C011_scienze-della-comunicazione/source/SD0024.html,raw_http,low,artifacts/journeys/J011_C011_scienze-della-comunicazione/source/SD0024.html,,,,n_a,,,course_master_notes=official course card
C012,UNI06,J012,SD0025,https://www.unito.it/didattica/offerta-formativa/corsi-di-studio/comunicazione-e-culture-dei-media,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0025.html,raw_http,low,artifacts/journeys/J012_C012_comunicazione-e-culture-dei-media/source/SD0025.html,,,,n_a,,,course_master_notes=official UniTo course card
C013,UNI07,J013,SD0028,https://corsi.unige.it/11938,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0028.html,raw_http,low,artifacts/journeys/J013_C013_media-comunicazione-e-societa/source/SD0028.html,,,,n_a,,,course_master_notes=current active course; canonical /corsi/11938 confirmed live 2026-04-21; short /
C014,UNI07,J014,SD0029,https://corsi.unige.it/11945,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0029.html,raw_http,low,artifacts/journeys/J014_C014_digital-humanities-interactive-systems-and-digital-media/source/SD0029.html,,,,n_a,,,course_master_notes=official UniGe course portal; canonical /corsi/11945 confirmed live 2026-04-21; 
C015,UNI08,J015,SD0032,https://www.unimib.it/triennale/comunicazione-interculturale,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0032.html,raw_http,low,artifacts/journeys/J015_C015_comunicazione-interculturale/source/SD0032.html,,,,n_a,,,course_master_notes=official course page
C016,UNI08,J016,SD0033,https://www.unimib.it/magistrale/teoria-tecnologia-comunicazione,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/source/SD0033.html,raw_http,low,artifacts/journeys/J016_C016_teoria-e-tecnologia-della-comunicazione/source/SD0033.html,,,,n_a,,,course_master_notes=official UniMib course page confirmed
C017,UNI09,J017,SD0036,https://www.unimi.it/it/corsi/laurea-triennale/comunicazione-e-societa-ces,artifacts/journeys/J017_C017_comunicazione-e-societa/source/SD0036.html,raw_http,low,artifacts/journeys/J017_C017_comunicazione-e-societa/source/SD0036.html,,,,n_a,,,course_master_notes=official course page
C018,UNI09,J018,SD0037,https://www.unimi.it/it/corsi/laurea-magistrale/editoria-culture-della-comunicazione-e-della-moda,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/source/SD0037.html,raw_http,low,artifacts/journeys/J018_C018_editoria-culture-della-comunicazione-e-della-moda/source/SD0037.html,,,,n_a,,,course_master_notes=official UniMi course page confirmed
C019,UNI10,J019,SD0040,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-della-comunicazione,artifacts/journeys/J019_C019_scienze-della-comunicazione/source/SD0040.html,raw_http,low,artifacts/journeys/J019_C019_scienze-della-comunicazione/source/SD0040.html,,,,n_a,,,course_master_notes=official course slug confirmed on ateneo site
C020,UNI10,J020,SD0041,https://www.uninsubria.it/formazione/offerta-formativa/corsi-di-laurea/scienze-e-tecniche-della-comunicazione,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/source/SD0041.html,raw_http,low,artifacts/journeys/J020_C020_scienze-e-tecniche-della-comunicazione/source/SD0041.html,,,,n_a,,,course_master_notes=class confirmed on official course page
C021,UNI11,J021,SD0044,https://corsi.unisa.it/scienze-della-comunicazione,artifacts/journeys/J021_C021_scienze-della-comunicazione/source/SD0044.html,raw_http,low,artifacts/journeys/J021_C021_scienze-della-comunicazione/source/SD0044.html,,,,n_a,,,course_master_notes=official course portal
C022,UNI11,J022,SD0045,https://corsi.unisa.it/corporate-communication-e-media,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/source/SD0045.html,raw_http,low,artifacts/journeys/J022_C022_corporate-communication-e-media-interclasse-lm-59-lm-92/source/SD0045.html,,,,n_a,,,course_master_notes=official UniSa course portal confirmed
C023,UNI12,J023,SD0049,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/l/2025-2026/scienze-della-comunicazione-0580706202000001/,artifacts/journeys/J023_C023_scienze-della-comunicazione/source/SD0049.html,raw_http,low,artifacts/journeys/J023_C023_scienze-della-comunicazione/source/SD0049.html,,,,n_a,,,course_master_notes=official course card
C024,UNI12,J024,SD0050,https://www.uniroma3.it/corsi/dipartimento-di-filosofia-comunicazione-e-spettacolo/lm/2025-2026/scienze-cognitive-della-comunicazione-e-dellazione-0580707309300001/,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/source/SD0050.html,raw_http,low,artifacts/journeys/J024_C024_scienze-cognitive-della-comunicazione-e-dell-azione/source/SD0050.html,,,,n_a,,,course_master_notes=official Roma Tre course card confirmed
C025,UNI13,J025,SD0053,https://www.unipa.it/dipartimenti/cultureesocieta/cds/scienzedellacomunicazione2447,artifacts/journeys/J025_C025_scienze-della-comunicazione/source/SD0053.html,raw_http,low,artifacts/journeys/J025_C025_scienze-della-comunicazione/source/SD0053.html,,,,n_a,,,course_master_notes=current renewed course
C026,UNI13,J026,SD0054,https://www.unipa.it/dipartimenti/cultureesocieta/cds/comunicazionedelpatrimonioculturale2215,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/source/SD0054.html,raw_http,low,artifacts/journeys/J026_C026_comunicazione-del-patrimonio-culturale/source/SD0054.html,,,,n_a,,,course_master_notes=official UniPa course page confirmed
C027,UNI14,J027,SD0057,https://www.unistrapg.it/comip,artifacts/journeys/J027_C027_comunicazione-internazionale-e-pubblicitaria/source/SD0057.html,raw_http,low,artifacts/journeys/J027_C027_comunicazione-internazionale-e-pubblicitaria/source/SD0057.html,,,,n_a,,,course_master_notes=official Unistrapg course page; canonical Italian page confirmed live 2026-04-21
C028,UNI14,J028,SD0058,https://www.unistrapg.it/offerta-formativa/corsi-di-laurea-e-laurea-magistrale/corso-di-laurea-magistrale-comunicazione-pubblicitaria-storytelling-e-cultura-dimmagine-compsi,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/source/SD0058.html,raw_http,low,artifacts/journeys/J028_C028_comunicazione-pubblicitaria-storytelling-e-cultura-d-immagine/source/SD0058.html,,,,n_a,,,course_master_notes=official Unistrapg course page; canonical /it/ URL confirmed live 2026-04-23; no
C029,UNI15,J029,SD0063,https://www.uniurb.it/corsi/1757256,artifacts/journeys/J029_C029_informazione-media-pubblicita/source/SD0063.html,raw_http,low,artifacts/journeys/J029_C029_informazione-media-pubblicita/source/SD0063.html,,,,n_a,,,course_master_notes=current active triennale
C030,UNI15,J030,SD0064,https://www.uniurb.it/corsi/1757220,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/source/SD0064.html,raw_http,low,artifacts/journeys/J030_C030_comunicazione-digitale-per-la-cultura/source/SD0064.html,,,,n_a,,,course_master_notes=official UniUrb course page confirmed
C031,UNI16,J031,SD0067,https://www.uninettunouniversity.net/it/indirizzo-comunicazione-digitale-d-impresa.aspx?degree=334&faculty=7&idindirizzo=179&mode=cs,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/source/SD0067.html,raw_http,low,artifacts/journeys/J031_C031_comunicazione-digitale-d-impresa/source/SD0067.html,,,,n_a,,,course_master_notes=selected one curriculum page within communication degree
C032,UNI16,J032,SD0068,https://www.uninettunouniversity.net/it/culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digitale.aspx,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/source/SD0068.html,raw_http,low,artifacts/journeys/J032_C032_culture-linguaggi-e-strategie-per-la-comunicazione-nell-era-digi/source/SD0068.html,,,,n_a,,,course_master_notes=official Uninettuno page without tracking parameters
C033,UNI17,J033,SD0071,https://corsi.unical.it/lt-lmcu/comunicazione-e-dams/cds/corso/?lang=it,artifacts/journeys/J033_C033_comunicazione-e-dams/source/SD0071.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C033.html,artifacts/runs/STRUN_001/source_rendered/C033.html,artifacts/runs/STRUN_001/screenshots/C033.png,artifacts/runs/STRUN_001/logs/C033.json,captured,2026-05-06T18:57:51.828522+00:00,84ed2654c9286760ebc5c482b2f9bdcc77a58a57ea085e28c7aa8285de8226e6,js_dependency=medium; course_master_notes=interclass confirmed from official Unical materials
C034,UNI17,J034,SD0072,https://corsi.unical.it/lm/linguaggi-della-comunicazione-e-dello-spettacolo/,artifacts/journeys/J034_C034_linguaggi-della-comunicazione-e-dello-spettacolo/source/SD0072.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C034.html,artifacts/runs/STRUN_001/source_rendered/C034.html,artifacts/runs/STRUN_001/screenshots/C034.png,artifacts/runs/STRUN_001/logs/C034.json,captured,2026-05-06T18:57:59.690544+00:00,1bf34749fa45cfa167d753330cb054524581eb4c98ad63a687d04491fa0884cd,js_dependency=medium; course_master_notes=official UniCal course portal confirmed
C035,UNI18,J035,SD0076,https://www.corsi.unina.it/D27/home,artifacts/journeys/J035_C035_culture-digitali-e-della-comunicazione/source/SD0076.html,browser_rendered,high,artifacts/runs/STRUN_001/source_rendered/C035.html,artifacts/runs/STRUN_001/source_rendered/C035.html,artifacts/runs/STRUN_001/screenshots/C035.png,artifacts/runs/STRUN_001/logs/C035.json,captured,2026-05-06T18:58:32.608485+00:00,84b0beb9c0ef35d8497a23cb06609755fc9f5a41343d2f04e5c91dc75b9a317c,js_dependency=high; course_master_notes=class confirmed on department page; target course portal is JS heavy
C036,UNI18,J036,SD0077,https://www.corsi.unina.it/DA2/home,artifacts/journeys/J036_C036_digital-society-social-innovation-and-global-citizenship/source/SD0077.html,browser_rendered,high,artifacts/runs/STRUN_001/source_rendered/C036.html,artifacts/runs/STRUN_001/source_rendered/C036.html,artifacts/runs/STRUN_001/screenshots/C036.png,artifacts/runs/STRUN_001/logs/C036.json,captured,2026-05-06T18:58:35.895422+00:00,0c6f96bdb5d0be8c851f9b9aaa22c997600d2690540b58f46039db46beaa6313,js_dependency=high; course_master_notes=JS heavy course portal confirmed
C037,UNI19,J037,SD0080,https://www.unibg.it/studiare/corsi/offertaformativa/scienze-comunicazione,artifacts/journeys/J037_C037_scienze-della-comunicazione/source/SD0080.html,raw_http,low,artifacts/journeys/J037_C037_scienze-della-comunicazione/source/SD0080.html,,,,n_a,,,course_master_notes=current official course page
C038,UNI19,J038,SD0081,https://ls-vpcm.unibg.it/it,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/source/SD0081.html,raw_http,low,artifacts/journeys/J038_C038_valorizzazione-del-patrimonio-culturale-materiale-e-immateriale/source/SD0081.html,,,,n_a,,,course_master_notes=interclass confirmed on official UniBg overview
C039,UNI20,J039,SD0084,https://corsi.unitn.it/it/beni-culturali,artifacts/journeys/J039_C039_beni-culturali/source/SD0084.html,raw_http,low,artifacts/journeys/J039_C039_beni-culturali/source/SD0084.html,,,,n_a,,,course_master_notes=selected to widen disciplinary mix
C040,UNI20,J040,SD0085,https://corsi.unitn.it/it/organizzazione-societa-e-tecnologia,artifacts/journeys/J040_C040_organizzazione-societa-e-tecnologia/source/SD0085.html,browser_rendered,medium,artifacts/runs/STRUN_001/source_rendered/C040.html,artifacts/runs/STRUN_001/source_rendered/C040.html,artifacts/runs/STRUN_001/screenshots/C040.png,artifacts/runs/STRUN_001/logs/C040.json,captured,2026-05-06T18:58:44.892395+00:00,8d2bd5fb66cc462f2070c611f7f23efe16e72912c75f4943b8764d37be24ebe8,js_dependency=medium; course_master_notes=current official course page
C041,UNI20,J041,SD0086,https://corsi.unitn.it/it/giurisprudenza,artifacts/journeys/J041_C041_giurisprudenza/source/SD0086.html,raw_http,low,artifacts/journeys/J041_C041_giurisprudenza/source/SD0086.html,,,,n_a,,,course_master_notes=keep only if third course per ateneo is desired
